code,name,stockType,categoryA,categoryB,categoryC
004690,삼천리,보통주,유틸리티,유틸리티,가스
025000,KPX케미칼,보통주,소재,소재,화학
18064K,한진칼1우,우선주,산업재,운송,항공운수
005820,원림,보통주,소재,소재,용기 및 포장
000105,유한양행1우,우선주,의료,제약 및 바이오,제약
012205,계양전기1우,우선주,경기소비재,자동차 및 부품,자동차부품
000087,하이트진로2우,2우선주,필수소비재,음식료 및 담배,음료
078935,지에스1우,우선주,에너지,에너지,석유 및 가스
000590,씨에스홀딩스,보통주,소재,소재,금속 및 광물
001070,대한방직,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
120030,조선선재,보통주,소재,소재,금속 및 광물
014825,동원시스템즈1우,우선주,소재,소재,용기 및 포장
090355,노루페인트1우,우선주,산업재,자본재,건축자재
071090,하이스틸,보통주,소재,소재,금속 및 광물
000725,현대건설1우,우선주,산업재,자본재,건설
007310,오뚜기,보통주,필수소비재,음식료 및 담배,식료품
000950,전방,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
192400,쿠쿠홀딩스,보통주,경기소비재,내구소비재 및 의류,내구소비재
000850,화천기공,보통주,산업재,자본재,기계
003030,세아제강지주,보통주,소재,소재,금속 및 광물
003200,일신방직,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
000995,DB 하이텍1우,우선주,IT,반도체,반도체 및 관련장비
012320,경동인베스트,보통주,유틸리티,유틸리티,가스
002270,롯데푸드,보통주,필수소비재,음식료 및 담배,식료품
002785,진흥기업1우,우선주,산업재,자본재,건설
017390,서울도시가스,보통주,유틸리티,유틸리티,가스
001130,대한제분,보통주,필수소비재,음식료 및 담배,식료품
006370,대구백화점,보통주,경기소비재,유통,백화점
014285,금강공업1우,우선주,산업재,자본재,건축자재
004090,한국석유공업,보통주,소재,소재,건축소재
000225,유유제약1우,우선주,의료,제약 및 바이오,제약
33637L,솔루스첨단소재2우,2우선주,IT,하드웨어,전자 장비 및 기기
004700,조광피혁,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
007815,코리아써키트1우,우선주,IT,하드웨어,전자 장비 및 기기
003920,남양유업,보통주,필수소비재,음식료 및 담배,식료품
014915,성문전자1우,우선주,산업재,자본재,전기장비
002840,미원상사,보통주,소재,소재,화학
005305,롯데칠성음료1우,우선주,필수소비재,음식료 및 담배,음료
001275,부국증권1우,우선주,금융,증권,증권
015350,부산도시가스,보통주,유틸리티,유틸리티,가스
003120,일성신약,보통주,의료,제약 및 바이오,제약
004545,깨끗한나라1우,우선주,소재,소재,종이 및 목재
003075,코오롱글로벌1우,우선주,산업재,자본재,건설
000670,영풍,보통주,IT,하드웨어,휴대폰 및 관련부품
008355,남선알미늄1우,우선주,소재,소재,금속 및 광물
003830,대한화섬,보통주,소재,소재,화학
000145,하이트진로홀딩스1우,우선주,필수소비재,음식료 및 담배,음료
000885,한화1우,우선주,산업재,자본재,복합 산업
268280,미원스페셜티케미칼(신설),보통주,소재,소재,화학
107590,미원홀딩스,보통주,소재,소재,화학
002025,코오롱1우,우선주,산업재,자본재,복합 산업
002960,한국쉘석유,보통주,소재,소재,화학
005725,넥센1우,우선주,경기소비재,자동차 및 부품,자동차부품
001725,신영증권1우,우선주,금융,증권,증권
016800,퍼시스,보통주,경기소비재,내구소비재 및 의류,내구소비재
009275,신원1우,우선주,경기소비재,내구소비재 및 의류,섬유 및 의복
001755,한양증권1우,우선주,금융,증권,증권
002995,금호산업1우,우선주,산업재,자본재,건설
009770,삼정펄프,보통주,필수소비재,생활용품,가정생활용품
037710,광주신세계,보통주,경기소비재,유통,백화점
058650,세아홀딩스,보통주,소재,소재,금속 및 광물
00781K,코리아써키트2우,2우선주,IT,하드웨어,전자 장비 및 기기
134380,미원화학,보통주,소재,소재,화학
001745,SK네트웍스1우,우선주,산업재,자본재,복합 산업
000650,천일고속,보통주,산업재,운송,육상운수
004450,삼화왕관,보통주,소재,소재,용기 및 포장
00499K,롯데지주1우,우선주,경기소비재,유통,도소매
023450,동남합성,보통주,소재,소재,화학
001525,동양1우,우선주,소재,소재,건축소재
010145,삼성중공업1우,우선주,산업재,자본재,조선
