code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
012610,경인양행,보통주,6740,-.45,182157,2780,22.44,12,19951005,소재,소재,화학,500,41246365,6920,6970,6770,1641,4721,3588,23555,8.37,50,3.7,6.57
112610,씨에스윈드,보통주,101500,2.07,182084,17545,20.59,12,20141127,에너지,에너지,에너지 시설 및 서비스,500,17285715,102000,103500,99300,20352,7356,7994,60136,59.18,460,5.17,9.92
009180,한솔로지스틱스,보통주,2035,1.23,181031,559,7.14,12,19891113,산업재,운송,육상운수,500,27477425,2075,2075,2010,570,1668,4607,9520,6.12,40,4.03,11.44
000880,한화,보통주,26150,-1.15,180461,19602,27.21,12,19760624,산업재,자본재,복합 산업,5000,74958735,26250,26600,25900,7211,1822862,504124,1125717,3.43,700,.13,2.09
317400,자이에스앤디(주),보통주,8180,1.96,180050,2191,8.45,12,20191106,산업재,자본재,건설,1000,26782520,8400,8400,8020,1870,2785,2779,16473,30.68,100,5.97,13.56
001250,지에스글로벌,보통주,1740,.57,178972,1436,-10.72,12,19760626,산업재,자본재,무역,2500,82533764,1745,1760,1700,455,12052,38894,58277,-4.17,,-1.31,-4.61
000100,유한양행,보통주,60400,.99,178751,40382,80.44,12,19621101,의료,제약 및 바이오,제약,1000,66856810,60700,60800,59800,14391,21172,14804,12536,-2.53,382.41,1.71,2.43
006980,우성사료,보통주,3090,-.32,177682,955,7.62,12,19881010,필수소비재,음식료 및 담배,식료품,500,30900000,3140,3145,3065,544,3359,3408,-3576,17.8,15,3.84,7.16
145270,케이탑자기관리부동산투자회사,보통주,817,.24,177315,378,,12,20120131,,,,1000,46224127,814,815,806,43,,,,,,,
078930,지에스,보통주,35200,-.14,176056,32706,8.98,12,20040805,에너지,에너지,석유 및 가스,5000,92915378,34900,35500,34600,8754,247393,177861,2033142,.23,1900,2.82,6.26
010820,퍼스텍,보통주,2045,.73,174912,983,-9.3,12,19890510,산업재,상업서비스,상업서비스,500,48061460,2025,2050,2020,348,1821,1263,-4661,-3.57,,-6.12,-31.41
009420,한올바이오파마,보통주,30450,1.31,173919,15907,98.9,12,19891218,의료,제약 및 바이오,제약,500,52240638,31200,31300,29850,8327,1914,1085,17090,18.09,,10.84,14.9
210540,디와이파워,보통주,11450,-4.8,171946,1264,5.84,12,20150115,경기소비재,자동차 및 부품,자동차부품,500,11041708,12300,12450,11900,2076,2626,3435,25944,-10.96,200,7.32,12.03
